adduct,mz,rt,name
M+Na,352.0417,3.42,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE+Na"
M+H,330.0598,5.25,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE"
M+Na,352.0417,5.25,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na"
M+H,428.0367,1.05,"ADENOSINE 3',5'-DIPHOSPHATE"
M+H,560.079,1.07,ADENOSINE 5'-DIPHOSPHORIBOSE
M+Na,582.0609,1.07,ADENOSINE 5'-DIPHOSPHORIBOSE+Na
M+H,348.0704,1.66,ADENOSINE 5'-MONOPHOSPHATE
M+H,590.0895,1.05,ADENOSINE-5'-DIPHOSPHOGLUCOSE
M+Na,612.0715,1.05,ADENOSINE-5'-DIPHOSPHOGLUCOSE+Na
M+H,330.0598,5.09,ADENOSINE-CYCLIC MONOPHOSPHATE
M+Na,290.086,5.02,ADENOSINE+Na
M+H,147.0652,5.87,ADIPIC ACID/3-METHYGLUTARIC ACID
M+H-H2O,129.0546,5.87,ADIPIC ACID/3-METHYGLUTARIC ACID-H2O
M+Na,169.0471,5.87,ADIPIC ACID/3-METHYGLUTARIC ACID+Na
M+H,290.1598,5.94,ADIPOYLCARNITINE
M+Na,312.1418,5.94,ADIPOYLCARNITINE+Na
M+H,131.1291,0.64,AGMATINE SULFATE
M+H-NH3,114.1026,0.64,AGMATINE SULFATE-NH3
M+Na,153.1111,0.64,AGMATINE SULFATE+Na
M+H,90.05495,0.71,ALANINE/SARCOSINE
M+Na,203.0526,0.74,ALDO/KETO-HEXOSE
M+Na,173.042,0.74,ALDOPENTOSE
M+H,159.0513,0.75,ALLANTOIN
M+Na,181.0332,0.75,ALLANTOIN+Na
M+Na,431.2768,9.66,ALLOCHOLIC ACID+Na
M+H,162.0761,0.83,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE
M+H-H2O,144.0655,0.83,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-H2O
M+H-NH3,145.0495,0.83,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-NH3
M+K,200.032,0.83,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+K
M+Na,184.058,0.83,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+Na
M+H,261.037,0.69,ALPHA-D-GALACTOSE 1-PHOSPHATE
M+H-H2O,243.0264,0.69,ALPHA-D-GALACTOSE 1-PHOSPHATE-H2O
M+Na,283.0189,0.69,ALPHA-D-GALACTOSE 1-PHOSPHATE+Na
M+Na,203.0526,0.69,ALPHA-D-GLUCOSE
M+H-H2O,163.0601,0.69,ALPHA-D-GLUCOSE-H2O
M+H-H2O,391.2843,10.48,ALPHA-MURICHOLIC ACID-H20
M+H,371.1548,6.51,AMYLOSE
M+H,138.055,7.21,ANTHRANILATE
M+H-H2O,120.0444,7.21,ANTHRANILATE-H2O
